state,station_no,station_name,latitude,longitude,year,month,storage_percent_full,capacity_GL,owner
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,1,68.4,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,2,66.8,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,3,67.5,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,4,53.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,5,48.3,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,6,44.4,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,7,40.9,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,8,32.1,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,9,57.1,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,10,61.3,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,11,52.3,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2020,12,62.5,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,1,70.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,2,68.9,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,3,56.6,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,4,60.7,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,5,63.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,6,71.1,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,7,56.8,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,8,56.5,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,9,56.3,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,10,60.8,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,11,75.1,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2021,12,74.8,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,1,72.6,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,2,69.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,3,70.5,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,4,63.2,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,5,61.4,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,6,56.4,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,7,58.8,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,8,50.2,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,9,68.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,10,83.1,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,11,78.6,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2022,12,76.4,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,1,77.7,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,2,65.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,3,57.9,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,4,67.1,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,5,54.2,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,6,45.7,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,7,47.2,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,8,47.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,9,58.2,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,10,65.9,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,11,72.8,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2023,12,76.5,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,1,72.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,2,64.9,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,3,58.7,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,4,48.4,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,5,59.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,6,47.7,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,7,45.0,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,8,55.9,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,9,47.1,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,10,62.4,306.2,NSW - Water NSW
NSW,NSW001,NSW Lower Dam #1,-33.941869,153.074072,2024,11,64.2,306.2,NSW - Water NSW
